Date,Presidents Party 1 = Republican,Season,Average Population in Thousands,House Majority,Senate Majority,Pandemic/Epidemics,Inflation,Monthly Disposable Income,GDP Per Capita,Number of People Employed,,Life expectancy,Debt to GDP Ratio
1/1/1970,1,0,203929,0,0,0,0.0618,17515,5151,78780000,2890696.1,70.78,0.35
1/1/1971,1,0,206567,0,0,0,0.0529,18121,5490,78864000,2880505.51,71,0.35
1/1/1972,1,0,208989,0,0,0,0.0327,18500,5884,80959000,2987207.87,71.21,0.34
1/1/1973,1,0,211053,0,0,0,0.0365,19760,6522,83161000,3119230.87,71.42,0.33
1/1/1974,1,0,213003,0,0,0,0.0939,19989,6996,86555000,3255995.31,71.79,0.31
1/1/1975,1,0,214998,0,0,0,0.1180,19422,7512,85627000,3390922.57,72.15,0.32
1/1/1976,1,0,217172,0,0,0,0.0672,20132,8377,87400000,3561878.11,72.52,0.33
1/1/1977,0,0,219262,0,0,0,0.0522,20514,9063,89928000,3695708.94,72.88,0.34
1/1/1978,0,0,221553,0,0,0,0.0684,21171,9935,94384000,3831354.94,73.25,0.33
1/1/1979,0,0,223973,0,0,0,0.0928,21796,11272,97948000,4024748.85,73.47,0.32
1/1/1980,0,0,226554,0,0,0,0.1391,21763,12303,99879000,4328904.5,73.7,0.32
1/1/1981,1,0,229004,0,1,1,0.1183,21748,13634,99955000,4356770.03,73.92,0.31
1/1/1982,1,0,231235,0,1,1,0.0839,22042,14150,99692000,4564952.96,74.15,0.34
1/1/1983,1,0,233398,0,1,1,0.0371,22353,14872,99161000,4770194.95,74.37,0.37
1/1/1984,1,0,235456,0,1,1,0.0419,23508,16587,103201000,4598487.67,74.47,0.38
1/1/1985,1,0,237535,0,1,1,0.0353,24475,17798,106302000,4406329.54,74.58,0.41
1/1/1986,1,0,239713,0,1,1,0.0389,24870,18794,108887000,4613100.67,74.68,0.46
1/1/1987,1,0,241857,0,0,1,0.0146,25467,19512,110953000,4742292.75,74.79,0.48
1/1/1988,1,0,244056,0,0,1,0.0405,26137,20775,114016000,4890861.25,74.89,0.5
1/1/1989,1,0,246301,0,0,1,0.0467,27013,22362,116708000,4901796.24,75.04,0.51
1/1/1990,1,0,248743,0,0,0,0.0520,27341,23591,119081000,4723209.68,75.19,0.54
1/1/1991,1,0,252012,0,0,0,0.0565,27001,23925,117940000,4535800.31,75.35,0.58
1/1/1992,1,0,255331,0,0,0,0.0260,27671,24896,117978000,4306748.49,75.5,0.61
1/1/1993,1,0,258799,0,0,0,0.0326,27966,25979,119075000,4341878.35,75.65,0.63
1/1/1994,0,0,262021,0,0,0,0.0252,28101,27133,121966000,4475192.13,75.81,0.64
1/1/1995,0,0,265157,1,1,0,0.0280,28865,28344,124663000,4492555.38,75.98,0.64
1/1/1996,0,0,268258,1,1,0,0.0273,29202,29307,125125000,4495463.31,76.14,0.64
1/1/1997,0,0,271472,1,1,0,0.0304,29877,30778,128298000,4688373.18,76.31,0.63
1/1/1998,0,0,274732,1,1,0,0.0157,31139,32248,130726000,4892526.07,76.47,0.6
1/1/1999,0,0,277891,1,1,0,0.0167,32230,33842,133027000,4955081.42,76.61,0.58
1/1/2000,0,0,281083,1,1,0,0.0274,33119,35556,136559000,4844990,76.75,0.55
1/1/2001,1,0,283960,1,1,0,0.0373,34151,36845,137778000,4808090,76.9,0.55
1/1/2002,1,0,286739,1,1,0,0.0114,34707,38099,135701000,4880200,77.04,0.57
1/1/2003,1,0,289412,1,1,1,0.0260,35015,39752,137417000,5000350,77.18,0.59
1/1/2004,1,0,292046,1,1,0,0.0193,35860,41911,138472000,5073230,77.38,0.6
1/1/2005,1,0,294768,1,1,0,0.0297,36199,44350,140245000,5126900,77.58,0.61
1/1/2006,1,0,297526,1,1,0,0.0399,37297,46361,143150000,5283110,77.79,0.61
1/1/2007,1,0,300398,0,0,0,0.0208,37962,48216,146028000,5547990,77.99,0.62
1/1/2008,1,0,303280,0,0,0,0.0428,38095,48865,146378000,5590700,78.19,0.68
1/1/2009,0,0,306035,0,0,0,0.0003,38290,46977,142152000,5610300,78.34,0.82
1/1/2010,0,0,308706,0,0,0,0.0263,37721,48834,138438000,5776410,78.49,0.9
1/1/2011,0,0,311023,1,0,0,0.0163,38854,50106,139250000,5749250,78.64,0.95
1/1/2012,0,0,313227,1,0,0,0.0293,39304,51892,141584000,5594160,78.79,0.99
1/1/2013,0,0,315400,1,0,0,0.0159,38868,53410,143292000,5659630,78.94,0.99
1/1/2014,0,0,317598,1,0,0,0.0158,39400,55635,145150000,5740030,78.91,1.01
1/1/2015,0,0,319904,1,1,0,-0.0009,41340,56995,148145000,5756080,78.89,1
1/1/2016,0,0,322196,1,1,0,0.0137,41998,58043,150653000,5656580,78.86,1.05
1/1/2017,1,0,324362,1,1,0,0.0250,42367,60093,152150000,5740270,78.84,1.04
1/1/2018,1,0,326216,1,1,0,0.0207,43564,63145,154495000,5563340,78.81,1.05
1/1/2019,1,0,327824,0,1,0,0.0155,44885,65419,156625000,5159550,78.87,1.07
1/1/2020,1,0,329423,0,1,0,0.0249,45463,63985,158659000,5392870,78.93,1.29
1/1/2021,0,0,330968,0,0,1,0.0140,51330,68660,150031000,5172100,78.99,1.255